CO_LOCAL_OFERTA_IES|NO_LOCAL_OFERTA|CO_IES
2006194|SÃO JOSÉ DOS PINHAIS|1491
2003901|PAP SAO JOSÉ DO RIO PRETO (PROANSI)|1491
2003902|SÃO JOSÉ DOS CAMPOS - CASIMIRO ABREU|1491
2005966|PAP CARAPICUIBA - SP|1491
2005967|CARAZINHO|1491
2005970|POLO DE APOIO PRESENCIAL - CARUARU|1491
2006071|PAP LENÇÓIS PAULISTA|1491
2006072|PAP LIMEIRA|1491
2006198|SÃO LUÍS (UNITEC)|1491
2006199|SÃO LUIZ GONZAGA|1491
2006200|PAP SÃO MANUEL|1491
2003905|PAP SAO PAULO (SANTO AMARO) - SP|1491
2003906|PAP SÃO PAULO (MATARAZZO) - SP|1491
2005971|Polo de Apoio Presencial - Cascavel (Alto Alegre)|1491
2005972|CASCAVEL - JD SEMINÁRIO|1491
2006074|Polo de Apoio Presencial - Londrina|1491
2006077|PAP Macaúbas|1491
2006202|Polo de Apoio Presencial - São Miguel do Oeste|1491
2003908|SÃO PAULO - SANTA CECÍLIA|1491
2005973|CASTRO|1491
2006080|Polo de Apoio Presencial - Marabá|1491
2038|Centro de Estudos Superiores de Parintins|3172
2039|Centro de Estudos Superiores de Tabatinga|3172
2040|Centro de Estudos Superiores de Tefé|3172
2041|Núcleo de Ensino Superior da UEA em Boca do Acre|3172
2042|Núcleo de Ensino Superior de Carauari|3172
2044|Núcleo de Ensino Superior de Coari|3172
696553|CAMPUS  - PORTO SEGURO - CENTRO|2140
659002|SEDE|2141
659005|CAMPUS  - BELO HORIZONTE - SANTA LÚCIA|2145
659006|UNIDADE  - RIO BRANCO - JARDIM EUROPA II|2146
659007|Unidade da Saúde|2147
106666|Unidade SEDE|2148
659008|Unidade SEDE|2148
106570|Unidade SEDE|2149
1056112|Unidade Lagoa Messejana|2497
1062976|Unidade Lagoa Messejana|2497
659179|Unidade SEDE|2499
659180|CAMPUS  - SALVADOR - STELLA MARIS|2500
659181|SEDE - GOIÁS|2501
1062855|BUENO - CAMPUS II|2501
699442|Unidade SEDE|2504
659183|UNIDADE  - DIVINÓPOLIS - CENTRO|2505
659185|CAMPUS  - GUARAPARI - LAGOA FUNDA|2511
659186|Unidade SEDE|2513
659187|CAMPUS  - NATAL - LAGOA SECA|2514
659188|CAMPUS  - CANTO DO BURITI - CENTRO|2521
659192|Unidade SEDE|2530
659194|CAMPUS  - PIRES DO RIO - CENTRO|2532
24234|MUCAJAÍ|2536
24236|BONFIM|2536
24237|NORMANDIA|2536
24241|SÃO JOÃO DA BALIZA|2536
24242|BOA VISTA|2536
24243|PACARAIMA|2536
659195|Campus - Canarinho|2536
2000310|CANTÁ|2536
2000311|CANTÁ|2536
2000312|CAROEBE|2536
2000317|UIRAMUTÃ|2536
2005704|ENTRE RIOS|2536
1047301|Faculdade Maurício de Nassau de João Pessoa|2835
1047302|Faculdade Maurício de Nassau de Campina Grande|2835
1047303|Faculdade Baiana de Ciências - FABAC Lauro de Freitas|2835
1047306|Bloco B - Campus Faculdade Maurício de Nassau|2835
1059836|BOA VIAGEM|2835
2045|Núcleo  de Ensino Superior de Eirunepé|3172
2046|Núcleo de Ensino Superior de Humaitá|3172
2047|Centro de Estudos Superiores de Itacoatiara|3172
2048|Núcleo de Ensino Superior de Manacapuru|3172
1058920|14 de Julho|2149
1060664|Mato Grosso|2149
27691|Unidade Walfran|2150
659010|CAMPUS  - TERESINA - FÁTIMA|2150
659012|CAMPUS  - SÃO GONÇALO - ZÉ GAROTO|2154
659013|CAMPUS  - PALMEIRA DOS ÍNDIOS - SÃO FRANCISCO|2156
659014|Unidade SEDE|2157
659015|Unidade SEDE|2158
659787|CAMPUS  - CAJAZEIRAS - BELO HORIZONTE|2158
1037463|Unidade SEDE|2160
699798|Unidade SEDE|2163
659018|CAMPUS  - FOZ DO IGUAÇU - JARDIM CENTRAL|2165
659019|CAMPUS  - CAMPO GRANDE - AMAMBAI|2168
1058894|Campus Mato Grosso|2168
1063042|Quatorze de Julho|2168
1049112|Unidade Venda Nova|2171
1054731|Pampulha|2171
1058402|Barro Preto|2171
659196|CAMPUS  - CARIACICA - SÃO GERALDO|2537
703520|Unidade SEDE|2538
659198|Unidade SEDE|2539
659199|Unidade SEDE|2548
659200|CAMPUS  - IBIÚNA - CENTRO|2549
696636|CAMPUS  - BELO HORIZONTE - ESTORIL|2552
659202|UNIDADE  - LUÍS EDUARDO MAGALHÃES - LOTEAMENTO JARDIM PARAÍSO|2553
137142|FEST|2554
659203|CAMPUS  - IMPERATRIZ|2554
659204|FIAM-FAAM - Liberdade (Sede)|2556
691043|FIAM-FAAM - Liberdade - Prédio 7|2556
705741|FIAM-FAAM - Vila Mariana - Unidade I|2556
708162|FIAM-FAAM - Morumbi|2556
1056066|FIAM-FAAM - Liberdade/Brigadeiro - Prédios 32 e 39|2556
1066415|FIAM-FAAM - Itaim Bibi|2556
659207|Unidade SEDE|2560
776|Campus de Cajazeiras|2564
1059837|DANTAS BARRETO|2835
1066171|Trianon|2835
1066172|Santo Albino|2835
701520|Unidade SEDE|2836
699899|CAMPUS  - PORTO VELHO - NOSSA SENHORA DA GRAÇA|2840
1040803|Unidade SEDE|2841
696949|Unidade SEDE|2843
698327|UNIDADE  - PIRACICABA|2844
659325|SEDE|2845
659326|Faculdade de Teologia Umbandista|2846
659327|CAMPUS  - BELO HORIZONTE - SANTA EFIGÊNIA|2849
2049|Núcleo de Ensino Superior de Manicoré|3172
2050|Núcleo de Ensino Superior de Maués|3172
2051|Centro de Estudos Superiores de São Gabriel da Cachoeira|3172
2198|Núcleo de Ensino Superior da UEA em Alvarães|3172
2199|Núcleo de Ensino superior na UEA em Amaturá|3172
2200|Núcleo de Ensino Superior da UEA em Anamã|3172
2202|Núcleo de Ensino Superior da UEA em Anori|3172
2206|Núcleo de Ensino  Superior da UEA em Santo Antonio do Içá|3172
2208|Núcleo de Ensino Superior da UEA em Atalaia do Norte|3172
2210|Núcleo de Ensino Superior da UEA em Autázes|3172
2211|Núcleo de Ensino Superior da UEA em Borba|3172
2212|Núcleo de Ensino Superior da UEA em Barcelos|3172
2213|Núcleo de Estudos Superiores de Beruri|3172
2214|Núcleo de Ensino Superior da UEA em Benjamin Constant|3172
2215|Núcleo de Ensino Superior da UEA em Barreirinha|3172
658986|CAMPUS  - SÃO PAULO - GUAIANASES|2173
659023|CAMPUS  - SÃO JOSÉ - CAMPINAS|2174
137436|Unidade SEDE|2175
1042049|FAMEBLU - CAMPUS II|2175
131753|Unidade I|2177
659025|Unidade I|2177
1056257|Unidade Dionisio Torres|2180
659028|Santo André-PRÍNCIPE DE GALES|2183
777|Campus de Sousa|2564
778|Campus de Patos|2564
8076|Campus de Cuité|2564
146793|Campus de Sumé|2564
600028|Unidade Campina Grande - Bodocongó|2564
703684|Campus de Pombal|2564
1005290|POLO NA SEDE|2564
659330|Unidade SEDE|2855
1041078|São Francisco de Assis|2855
659331|FACULDADE DE BELÉM - REDUTO|2859
659333|Unidade SEDE|2870
659334|Unidade SEDE|2879
1040668|Sede|2886
659337|Unidade SEDE|2891
659338|CAMPUS  - SÃO PAULO DAS MISSÕES - RURAL|2895
659339|CAMPUS  - CRICIÚMA - UNIVERSITÁRIO|2896
139535|UNIDADE SEDE|2903
1033432|Unidade SEDE|2904
1046749|Jk Guará|2904
659342|Unidade SEDE|2908
1058389|Lagoa Nova|2908
1066110|Praça Pedro II|2908
2216|Núcleo de Ensino Superior da UEA em Boa Vista do Ramos|3172
2217|Núcleo de Ensino Superior da UEA em Canutama|3172
2218|Núcleo de Ensino Superior da UEA em Codajás|3172
2220|Núcleo de Ensino Superior da UEA em Caapiranga|3172
2223|Núcleo de Ensino Superior da UEA em Fonte Boa|3172
2226|Núcleo de Ensino Superior da UEA em Iranduba|3172
2228|Núcleo de Ensino Superior da Uea em Itamaratí|3172
2230|Núcleo de Ensino Superior de Itapiranga|3172
2232|Núcleo de Ensino  Superior da UEA em Ipixuna|3172
2234|Núcleo de Ensino Superior da UEA em Japurá|3172
2236|Núcleo de Ensino Superior da UEA em Jutaí|3172
2238|Núcleo de Ensino Superior da UEA em Juruá|3172
2240|Núcleo de Estudos Superiores de Lábrea|3172
2243|Núcleo de Ensino Superior da UEA em Manaquirí|3172
2254|Núcleo de Ensino Superior da UEA em Maraã|3172
2255|Núcleo de Ensino Superior da UEA em Nhamundá|3172
2256|Núcleo de Ensino Superior da UEA em Nova Olinda do Norte|3172
2258|Núcleo de Ensino Superior da UEA em Pres. Figueiredo|3172
2261|Núcleo de Ensino Superior da UEA em São Sebastião do Uatumã|3172
2263|Núcleo de Ensino Superior da UEA em Tapauá|3172
2264|Núcleo de Estudos Superiores de Tonantins|3172
659029|Faculdade Cenecista Nossa Senhora dos Anjos|2184
659030|Unidade SEDE|2186
1055700|FSDB - UNIDADE LESTE|2186
659031|CAMPUS  - CURITIBA - BATEL|2188
25848|URBANO SANTOS|2189
1058649|São Luis - SEDE - Bequimão|2189
2006567|SANTA INÊS|2189
2006568|PRESIDENTE DUTRA|2189
2006569|IMPERATRIZ|2189
2006570|BALSAS|2189
2006571|BACABAL|2189
2006572|AÇAILÂNDIA|2189
704942|CAMPUS  - PELOTAS - TRÊS VENDAS|2191
1046793|Campus de Sumé|2564
677|Campus 2 / Nilópolis|2565
1771|Campus 4 / Angra dos Reis|2565
1772|Campus 6 / Nova Iguaçu|2565
1003212|Unidade SEDE|2565
2571|Campus São Bento|2566
659212|Unidade SEDE|2568
659343|CAMPUS  - SÃO LUÍS - CALHAU|2909
659344|Faculdade Verde Norte|2910
659345|CAMPUS  - BELÉM - BAIRRO CREMAÇÃO|2911
1055745|Campus Nazaré|2911
659346|CAMPUS  - CRUZ DAS ALMAS - CENTRO|2912
659347|CAMPUS  - PATOS DE MINAS - CENTRO|2915
1058207|Unidade IV|2915
1051172|Unidade SEDE|2917
659349|Unidade Apoio KM 15|2918
1048727|AMPLIAÇÃO UNIDADE I - SEDE|2918
659350|CAMPUS  - BARRETOS - CENTRO|2922
146179|Instituto Federal do Norte de Minas Gerais - Campus Salinas|3188
1054088|Instituto Federal do Norte de Minas Gerais - Campus Araçuaí|3188
1054148|Instituto Federal do Norte de Minas Gerais - Campus Arinos|3188
1055386|Instituto Federal do Norte de Minas Gerais - Campus Pirapora|3188
1056954|Instituto Federal do Norte de Minas Gerais - Campus Montes Claros|3188
1056955|Instituto Federal do Norte de Minas Gerais - Campus Almenara|3188
30781|CAMPUS FORMIGA|3189
33024|CAMPUS SÃO JOÃO EVANGELISTA|3189
146286|CAMPUS BAMBUÍ|3189
659410|CAMPUS OURO PRETO|3189
1046540|CAMPUS GOVERNADOR VALADARES|3189
1046548|CAMPUS CONGONHAS|3189
1055306|Campus Sabará|3189
1056452|Campus Ouro Branco|3189
106033|Unidade SEDE|2192
1040994|Unidade SEDE|2194
105001|CAMPUS  - SÃO PAULO - VILA CARRÃO|2197
659036|CAMPUS  - PORTO ALEGRE - CENTRO|2198
139055|FACULDADE VALE DO GORUTUBA|2200
659038|Unidade SEDE|2202
659039|CAMPUS  - TUPI PAULISTA - CENTRO|2205
695946|CAMPUS  - TUPI PAULISTA - CENTRO|2205
659040|CAMPUS  - SÃO JOSÉ DOS PINHAIS - CENTRO|2206
659041|CAMPUS - JUIZ DE FORA - CENTRO|2220
1055149|Faculdades Doctum|2220
659043|Unidade SEDE|2222
659213|Unidade SEDE|2569
659215|CAMPUS  - ITAPERUNA - PRESIDENTE COSTA E SILVA|2571
659216|CAMPUS  - CANDEIAS - CAROBA|2572
659217|CAMPUS  - LONDRINA - GLEBA PALHANO|2573
659218|CAMPUS  - BARRETOS - CENTRO|2575
140879|Unidade SEDE|2576
1038222|Unidade I|2579
1040856|Unidade UBA|2927
659353|CAMPUS  - UBERABA - VILA SÃO CRISTÓVÃO|2935
1049897|Unidade II|2935
659355|CAMPUS  - BRASÍLIA - ASA SUL - REGIÃO ADMINISTRATIVA I|2942
1046783|Faculdade do Sul - Unidade I|2944
1047527|Faculdade do Sul - Unidade II - Sede|2944
659357|Unidade SEDE|2949
136324|FADERGS - Faculdade de Desenvolvimento do Rio Grande do Sul - Unidade GV|2950
601177|Campus Rio Pomba|3279
1046352|Campus Juiz de Fora|3279
1055884|Campus São João del Rei|3279
659435|CAMPUS  - ALAGOINHAS - CENTRO|3285
659438|Unidade SEDE|3294
659439|Faculdade de Tecnologia Senac Florianópolis|3295
659440|UNIDADE SEDE|3299
659442|Unidade SEDE|3302
659443|CAMPUS  - CUIABÁ - JARDIM TROPICAL|3303
659444|Unidade SEDE|3304
106291|Unidade SEDE|2229
704450|Unidade SEDE|2233
659050|Unidade SEDE|2237
659051|UNIDADE  - FORTALEZA - ÁGUA FRIA|2240
1059273|Batista Aldeota|2240
24262|Barão do Rio Branco|2241
1061074|Presidente Itamar Franco|2241
26532|Unidade Camilo Collier|2242
659053|CAMPUS  - RECIFE - BOA VIAGEM|2242
659054|CAMPUS  - JOÃO PESSOA - MIRAMAR|2243
1043795|Unidade Sede (Atual)|2244
28641|Unidade Comércio|2581
659224|CAMPUS  - SALVADOR - BARRIS|2581
659225|CAMPUS - PITANGA - CANTU|2582
1006609|Unidade SEDE|2591
139691|Unidade SEDE|2593
699651|UNIDADE  - DOURADOS - JARDIM AYDÊ|2594
707374|Campus-Faculdade Rio Branco|2613
1066379|FACULDADE META|2613
659236|CAMPUS  - SANTO ANTÔNIO DE PÁDUA - CENTRO|2616
1054619|ALEQUICIS|2616
659237|Faculdade de São Bento do Rio de Janeiro|2617
659239|Unidade SEDE|2620
1048362|Unidade Luiz Afonso|2950
1057270|Unidade Riachuelo|2950
659359|CAMPUS  - CÁCERES - DNER|2961
1050405|Faculdade do Pantanal|2961
659360|Faculdade Projeção do Guará|2964
702287|CAMPUS  - SALVADOR - ITAPOAN|2969
1045555|FACULDADE BARRETOS|2971
659363|Unidade SEDE|2973
659364|UNIDADE  - PRIMAVERA DO LESTE - JARDIM RIVA|2974
659365|CAMPUS  - SINOP - JARDIM BOTÂNICO|3000
699436|Unidade SEDE|3001
659367|CAMPUS  - ARAPIRACA - ALTO DO CRUZEIRO|3004
1053245|Manuel Afonso Ferreira|3007
1061904|Aquarius|3008
698670|Escola Superior de Tecnologia - EST|3172
700135|Núcleo de Ensino Superior da UEA em Envira|3172
700476|Núcleo de Ensino Superior da UEA em Novo Airão|3172
700512|Núcleo de Ensino Superior de São Paulo de Olivença|3172
706180|CAMPUS  - MANAUS - CHAPADA|3172
707777|Esola Superior de Ciências Sociais - ESO|3172
1052075|Centro de Estudos Superiores de Lábrea|3172
1052077|Centro de Estudos Superiores de Tefé|3172
1052082|Centro de Estudos Superiores da UEA em Lábrea|3172
696391|CAMPUS  - SAPUCAIA DO SUL - CENTRO|3176
696394|Unidade SEDE|3177
1058540|Pajuçara|2244
659056|CAMPUS  - VITÓRIA - VERMELHO|2245
659057|Unidade SEDE|2246
3325|Campus II - Interlagos|2247
659058|CAMPUS  - SÃO PAULO - TUCURUVI|2247
1056073|Unidade João Martins|2247
659059|CAMPUS  - ARACAJU - GRANGERU|2248
1045290|Unidade SEDE|2256
695520|Unidade SEDE|2257
659062|UNIDADE  - GUARAPARI - LAGOA FUNDA|2264
659063|Unidade SEDE|2266
659064|CAMPUS  - EXTREMA - VILA RICA|2270
137382|Unidade SEDE|2271
659240|CAMPUS  - SERRA - CIVIT II|2622
659241|Unidade SEDE|2623
1055939|Unidade Sede|2623
695968|CAMPUS - GUARATUBA - PIÇARRAS|2624
659243|CAMPUS  - SÃO JOSÉ DOS CAMPOS - JARDIM ESPLANADA II|2625
1059427|Centro|2625
659245|CAMPUS  - JUÍNA - MÓDULO I|2629
659246|Instituto Superior de Educação do Vale do Juruena|2630
659247|Unidade SEDE|2632
659249|Unidade SEDE|2636
4005|NOVO MILENIO-CAMPUS SERRA|2640
1036703|Faculdade Doctum de Saúde da Serra|2640
659252|CAMPUS  - PÃO DE AÇÚCAR - CENTRO|2642
659254|CAMPUS  - SANTA MARIA - CENTRO|2647
659255|Unidade SEDE|2651
659370|CAMPUS  - MARÍLIA - JARDIM  AMÉRICA|3012
1049914|Faculdade João Paulo II|3012
659371|Unidade SEDE|3020
659372|CAMPUS  - ITUMBIARA - CENTRO|3021
659373|CAMPUS  - IBIPORÃ - CENTRO|3027
659374|CAMPUS  - ANANINDEUA - CENTRO|3029
4219|Campus I|3034
1061025|Campus II - Paralela|3034
659376|CAMPUS - ANCHIETA - CENTRO|3039
659377|Unidade SEDE|3042
1039044|Unidade SEDE|3051
659274|Unidade SEDE|3099
1049727|Faculdade Internacional da Paraíba|3099
1071746|Campus Santa Luzia|3189
1071751|Câmpus Piumhi|3189
1071780|Ribeirão das Neves|3189
659411|UNIDADE  - GARÇA - LABIENÓPOLIS|3190
1005308|Unidade SEDE|3192
146555|UNIDADE OLARIAS|3193
693830|UNIDADE SEDE PARAÍSO|3193
1066349|UNIDADE MITAI|3193
659414|CAMPUS  - BELO HORIZONTE - LARANJEIRAS|3194
1005991|Unidade SEDE|3203
659416|Unidade SEDE|3204
699379|Faculdade Ciências Biológicas e da Saúde|3205
1061078|Campus Pouso Alegre|2271
1052618|UNIDADE SEDE|2275
1045316|Campus Central - Sede|2279
659071|Unidade SEDE|2282
659073|CAMPUS  - PORTO ALEGRE - SANTO ANTÔNIO|2287
1006393|Unidade SEDE|2288
1058848|SEDE|2289
659076|CAMPUS  - SANTA MARIA - MEDIANEIRA|2297
659077|CAMPUS  - CURITIBA - BOQUEIRÃO|2301
659082|CAMPUS  - RIO DE JANEIRO - JACAREPAGUÁ|2308
659083|UNIDADE VENDA NOVA|2311
659084|Unidade SEDE|2312
659087|Unidade SEDE|2319
659088|CAMPUS  - VILA VELHA - COQUEIRAL DE ITAPARICA|2320
659090|Unidade SEDE|2323
659091|Unidade SEDE|2324
1037390|Unidade SEDE|2652
659257|UNIDADE  - SERROLÂNDIA - CONTORNOLÂNDIA|2653
659258|CAMPUS  - RECIFE - CASA AMARELA|2656
701872|CAMPUS  - SANTO ANTÔNIO DO DESCOBERTO - CENTRO|2660
659261|FACULDADE LA SALLE DE MANAUS|2676
659262|Unidade SEDE|2677
659263|Faculdade Dom Alberto|2687
1006125|Unidade SEDE|2688
659266|CAMPUS  - PARAÍSO DO TOCANTINS - CENTRO|2702
701959|CAMPUS  - CONTAGEM - JARDIM ELDORADO|2703
659271|CAMPUS  - RECIFE - APIPUCOS|2723
699690|UNIDADE  - IMPERATRIZ - NOVA IMPERATRIZ|2724
1059406|Centro|2726
659275|CAMPUS  - CARATINGA - CENTRO|2736
1039486|Unidade Caratinga - Centro|2736
659276|Unidade SEDE|2741
659277|Unidade SEDE|2744
659278|CAMPUS  - BELÉM - SÃO BRÁZ|2745
1040188|Unidade Municipalidade|2745
701547|Unidade SEDE|3117
1041298|Unidade SEDE|3146
659385|CAMPUS  - RECIFE - BOA VIAGEM|3148
659386|CAMPUS  - DIVINÓPOLIS - DO CARMO|3149
1906|Unidade de São Lourenço do Oeste|3151
1908|Unidade Xaxim|3151
659387|CAMPUS  - CHAPECÓ - EFAPI|3151
2265|Núcleo de Estudos Superiores de Uariní|3172
2272|Núcleo de Ensino Superior da UEA em Novo Aripuanã|3172
600127|Escola Normal Superior - ENS|3172
600128|Núcleo de Ensino Superior de Presidente Figueiredo|3172
600129|Núcleo de Ensino Superior de Careiro|3172
600130|Unidade - Tefé - Jerusalém|3172
600132|Unidade - Novo Airão - Centro|3172
600182|Núcleo de Ensino Superior de Apuí|3172
600185|Núcleo de Ensino Superior de Beruri|3172
600186|Núcleo de Ensino Superior de Borba|3172
600192|Unidade - Iranduba - Alto|3172
600199|Unidade - Santa Isabel do Rio Negro - São Judas Tadeu|3172
659092|CAMPUS  - BOTUCATU - JARDIM EVELYN|2328
702880|CAMPUS  - CUIABÁ - JARDIM EUROPA|2330
699486|CAMPUS - PIRAJU - DISTRITO INDUSTRIAL|2332
1048375|CAMPUS  - RIO DAS OSTRAS|2334
659096|CAMPUS  - SÃO LUÍS DE MONTES BELOS - SETOR UNIVERSITÁRIO|2336
131728|Unidade SEDE|2341
1047291|Unidade Arcipreste|2745
659279|CAMPUS  - LUZERNA - CENTRO|2750
659280|CAMPUS - CAPIM GROSSO - LOTEAMENTO POUSADA DAS MANGUEIRAS|2753
659281|Unidade SEDE|2754
100698|Unidade SEDE|2755
659283|Faculdade Anhanguera de Valparaíso - Quadra 5|2756
659285|CAMPUS  - IRECÊ - MORADA DO SOL|2761
659286|Unidade SEDE|2763
1039350|Unidade SEDE|2763
659287|Unidade SEDE|2766
1063029|POLITECNICO|2766
1056202|Unidade Acadêmica|2770
659289|Unidade SEDE|2771
659291|POLO NA SEDE|2773
659390|Faculdade de Tecnologia SENAI Jaraguá do Sul|3155
696261|CAMPUS  - RIO VERDE - MORADA DO SOL|3157
696266|Foz do Iguaçu-Vila A|3158
659394|CAMPUS  - FLORIANÓPOLIS - SACO GRANDE|3159
1864|Campus Marechal Deodoro|3160
1865|Campus Palmeira dos Índios|3160
659405|CAMPUS  - FOZ DO IGUAÇU - JARDIM UNIVERSITÁRIO|3180
659406|CAMPUS - ARAPIRACA - BRASÍLIA|3182
102405|Campus Aracaju / Reitoria|3183
145523|Campus Lagarto|3183
146162|Campus São Cristovão|3183
1056037|Campus Glória|3183
1060818|Campus Itabaiana|3183
1067856|Campus Estância|3183
1039410|Unidade SEDE|3184
1057478|Polo UAB - Alto Alegre|3184
1057479|Polo UAB - Amaraji|3184
1057480|Polo UAB - Boa Vista|3184
1057481|Polo UAB - São João da Baliza|3184
1057482|Polo UAB - Rorainópolis|3184
1068678|UNIVIRR - BONFIM - UAB|3184
1068680|Polo UAB - Iracema|3184
1068681|Pacaraima-Suapi|3184
1068682|Polo UAB - São Luiz do Anauá|3184
1069599|UNIDADE DE TRINDADE|3184
1069634|UNIDADE DE TRINDADE|3184
659408|Unidade SEDE|3186
137313|Instituto Federal do Norte de Minas Gerais - Campus Januária|3188
659098|CAMPUS  - SÃO JOSÉ DO RIO PRETO - JARDIM MORUMBI|2342
695587|CAMPUS - RIO BRANCO - JARDIM PRIMAVERA|2343
659101|Unidade SEDE|2346
